"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASVd4ea51ad",NA,NA,NA,NA,NA,NA,NA
"ASV7e4232cc","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASVe8cf2d76","Bacteria",NA,NA,NA,NA,NA,NA
"ASV44b1272e",NA,NA,NA,NA,NA,NA,NA
"ASV461899ac",NA,NA,NA,NA,NA,NA,NA
"ASV107bd202","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium",NA
"ASV14faaaff","Bacteria",NA,NA,NA,NA,NA,NA
"ASV08a83392",NA,NA,NA,NA,NA,NA,NA
"ASV6e29961b","Bacteria",NA,NA,NA,NA,NA,NA
"ASV69959965",NA,NA,NA,NA,NA,NA,NA
"ASVf053d536",NA,NA,NA,NA,NA,NA,NA
"ASV09a98d01",NA,NA,NA,NA,NA,NA,NA
"ASV8e6cc3a3",NA,NA,NA,NA,NA,NA,NA
"ASVce5688c7","Bacteria",NA,NA,NA,NA,NA,NA
"ASVb6cb4b48","Bacteria","Cyanobacteriota","Cyanobacteriia","Cyanobacteriales","Cyanobacteriales Incertae Sedis",NA,NA
"ASV2d41ea30",NA,NA,NA,NA,NA,NA,NA
"ASVfc65e4bd",NA,NA,NA,NA,NA,NA,NA
"ASVa0fea122",NA,NA,NA,NA,NA,NA,NA
"ASVc9eb51b0","Bacteria",NA,NA,NA,NA,NA,NA
